연번,권역,지점명,지점코드,도엽번호,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,소재지,매설일,최종관측,관측횟수,편각,복각,전자력,관측장비,비고
1,중부,남양,1-1-2,NJ52-09-25,37,6,44.7,126,57,10.9,경기도화성시 장지동 287-9 장지저수지,,2010연구성과,13,-7.788889,53.510417,50640.0,연구성과보고서,
2,중부,강화,1-2-3,NJ52-09-09,37,39,58.0468,126,28,43.5908,인천광역시 강화군 길상면 길직리 산 148-6,2022-10-05 00:00:00,2024.04.17,9,-8.659731,54.765217,51531.2,MAG-02H,
3,중부,포천,1-3-3,NJ 52-09-5,37,59,27.2698,127,8,4.7644,경기도 연천군 청산면 대전리 산83 번지,2023-05-25 00:00:00,2025.05.27.,9,-9.245017,55.042983,51495.3,MAG-02H,
4,중부,여주,1-4-4,NJ52-09-21,37,26,43.3716,127,34,23.9581,경기도 양평군 개군면 내리 산12,2023.09.07,2023.09.07,7,-9.340261,54.433353,51138.0,MAG-01H,
5,중부,화천,1-5-2,NJ52-05-28,38,6,56.4,127,41,12.2,강원도 화천군 화천읍 상리(마을앞제방),,2018.5.23,6,-8.933944,54.944778,51499.4,MAG-01H,
6,동부,설악,1-6-2,NJ52-06-24,38,0,35.4,128,19,59.3,강원도 인제군 인제읍 북리,,2010연구성과,6,-8.231861,54.331917,50737.0,연구성과보고서,
7,동부,봉평,1-7-2,NJ52-10-10,37,36,44.54,128,23,44.8872,강원도 평창군 봉평면 창동리 산85번지,,2015,7,-8.446667,54.142500,50634.0,MAG-04H,
8,동부,삼척,1-8-4,NJ52-10-20,37,23,4.9815,129,12,11.6134,강원도 삼척시 근덕면 하맹방리 774-2번지,2022.10.12,2024.08.29.,8,-8.223683,54.325956,50647.4,MAG-07H,
9,동부,제천,1-9-2,NJ52-10-23,37,4,28.7,128,12,41.2,충북 제천시 금성면 양화리,,2015,7,-7.575278,53.646944,,MAG-09H,
10,동부,춘양,1-10-3,NJ52-14-05,36,55,47.22,128,52,4.0,경상북도 봉화군,2005.09.12,2015,6,-8.249722,53.053333,50148.0,MAG-01H,
11,동부,청송,1-11-3,NJ52-14-20,36,22,11.8,129,4,32.5,경상북도 청송군 부동면 지리,2005.09.02,2018.10.24,6,-8.261333,52.534000,49822.7,MAG-01H,
12,동부,상주,1-12-2,NJ52-14-16,36,21,8.4,128,6,45.6,경상북도 상주시 청리면 율리 436-2(밤깟마을),,2025.09.24.,9,-8.193992,52.758553,50560.0,MAG-02H,
13,중부,미원,1-13-2,NJ52-13-14,36,43,30.1126,127,35,10.4243,충청북도 청주시 청원구 북이면 영하리 산13-1번지(변성규지묘) 상단 위치,,2024.05.01.,9,-9.122264,53.412156,50709.3,MAG-02H,
14,중부,서산,1-14-3,NJ52-13-02,36,47,22.1,126,29,27.9,충남 서산시 잠홍동 잠홍저수지,2007.05.03(재설),2018.4.25,5,-7.821750,54.144500,51098.4,MAG-01H,점조서 시트 좌표는 남양 옛위치 오기 — 성과고시 시트 2013 값 사용
15,중부,청양,1-15-3,NJ52-13-18,36,26,15.9114,127,0,29.7915,충청남도 공주시 우성면 용봉리 용봉(우목)저수지,2008.07(재설),2018.9.11,7,-8.210083,51.852833,50484.9,MAG-01H,2008.07(재설)
16,중부,이원,1-16-3,NJ52-13-28,36,4,15.169,127,41,59.0425,충청북도 영동군 학산면  아암리 17-1번지 (여의치저수지),2005.06.23,2024.09.04.,8,-8.419358,52.969394,50286.9,MAG-02H,
17,중부,부안,1-17-2,NJ52-01-10,35,35,16.0,126,42,58.1,전라북도 부안군 줄포면 난산리  목상마을,,2025.11.04.,10,-8.473328,52.376639,50678.1,MAG-02H,
18,중부,와도,1-18-4,NJ52-01-23,35,10,15.9,126,22,33.09,전라남도 영광군 군남면,,2018.7.10,5,-7.571972,51.593611,50089.4,MAG-01H,
19,중부,순창,1-19-4,NJ52-01-19,35,17,48.1,127,8,22.4,전라남도 곡성군 옥과면 배감리,2009.06.23,2013,5,-7.695167,51.275389,49120.0,MAG-01H,
20,중부,함양,1-20-3,NJ52-02-17,35,32,22.1,127,37,30.4,경남 함양군 백전면 구산리,2006.09.11,2025.10.29.,8,-7.629208,52.017197,49779.9,MAG-02H,
21,동부,가야,1-21-4,NJ52-02-02,35,48,2.8173,128,11,15.569,경상북도 고령군 덕곡면 노리 산39-5,,2024.09.12.,7,-8.382344,51.809242,49608.0,MAG-02H,
22,동부,영천,1-22-4,NI52-02-04,35,47,31.5069,128,56,54.9693,경북 경산시 용성면 부일리 산40번지,2024-10-30 00:00:00,2024.10.31,8,-9.902211,52.202214,49784.0,MAG-01H,
23,동부,언양,1-23-1,NI52-2-13,35,40,34.3198,129,11,27.1397,울산광역시 울주군 두서면  미호리 산3,2024.10.16,2024.10.17,9,-9.003039,51.749664,49597.3,MAG-01H,
24,동부,남지,1-24-3,NJ52-01-14,35,26,10.2,128,28,25.6,경상남도 창녕군 장마면,2005.09.15,2019.06.24,6,-7.602850,51.288442,49481.8,MAG-01H,
25,동부,거제,1-25-2,NJ52-06-07,34,52,13.1198,128,35,34.3023,경상남도 거제시 거제면 서상리,2002.11.11,2024.10.24.,6,-8.147075,51.198997,49335.5,MAG-02H,
26,중부,남해,1-26-2,NJ52-06-04,34,51,43.2,127,59,43.4,경상남도 남해군 창선면 옥천리 965,2002.11.12,2013,5,-7.145056,50.795139,48180.0,MAG-01H,
27,중부,순천,1-27-3,NJ52-06-02,34,47,13.4,127,18,17.8,전라남도 고흥군 동강면 마륜리 518  원동재,2009.05.20,2025.04.02,9,-8.440092,51.114153,49618.9,MAG-01H,
28,중부,장흥,1-28-3,NJ52-05-16,34,37,38.3,126,58,40.2,전남 장흥군 안양면 해창리 해창제방,2006.6.1,2019.10.22,4,-8.318178,51.124536,49468.1,MAG-01H,
29,중부,조도,1-29-2,NJ52-05-21,34,25,54.9,126,13,25.7,전라남도 진도군 삼막리,2002.11.15,2010연구성과,3,-6.239778,50.575139,49487.0,연구성과보고서,
30,중부,성산,1-30-2,NJ52-09-18,33,31,28.2,126,53,39.0,제주특별자치도 제주시 구좌읍 하도리 425,2006.05.25,2025.05.15,6,-8.658169,50.120781,48909.9,MAG-03H,
