Magnetic Anomaly (2018)
---------------------------------
Column1: Longitude (degree)
Column2: Latitude (degree)
Column3: Magnetic Anomaly (nT)
---------------------------------
Longit. Latit.  MagAno
(deg.)  (deg.)   (nT)
---------------------------------
126.275 33.200   -66.7
126.250 33.225   -10.4
126.275 33.225     3.0
126.300 33.225   -40.7
126.475 33.225    40.6
126.200 33.250    54.8
126.225 33.250   -65.7
126.250 33.250    58.0
126.275 33.250    84.7
126.300 33.250   263.9
126.325 33.250   278.1
126.350 33.250   119.3
126.375 33.250   -29.8
126.400 33.250   -65.3
126.425 33.250   235.0
126.450 33.250   175.6
126.475 33.250   119.0
126.500 33.250   211.5
126.525 33.250   335.6
126.550 33.250   220.3
126.575 33.250   184.0
126.600 33.250    97.2
126.625 33.250    47.6
126.175 33.275    36.9
126.200 33.275   193.7
126.225 33.275   102.7
126.250 33.275    82.2
126.275 33.275   146.8
126.300 33.275    59.3
126.325 33.275   388.5
126.350 33.275   334.7
126.375 33.275   347.3
126.400 33.275   217.9
126.425 33.275   349.3
126.450 33.275   448.8
126.475 33.275   388.5
126.500 33.275   494.2
126.525 33.275   441.4
126.550 33.275   361.4
126.575 33.275   183.0
126.600 33.275   309.3
126.625 33.275   174.0
126.650 33.275   -13.5
126.675 33.275   172.6
126.700 33.275   161.8
126.725 33.275   175.3
126.175 33.300  -225.4
126.200 33.300   -69.4
126.225 33.300    62.3
126.250 33.300    76.3
126.275 33.300   -23.1
126.300 33.300   -40.7
126.325 33.300  -160.4
126.350 33.300   -57.9
126.375 33.300   573.5
126.400 33.300   576.8
126.425 33.300   533.2
126.450 33.300   718.5
126.475 33.300   470.7
126.500 33.300   751.0
126.525 33.300   571.0
126.550 33.300   104.0
126.575 33.300   252.8
126.600 33.300   108.6
126.625 33.300   211.3
126.650 33.300   261.8
126.675 33.300   390.3
126.700 33.300   202.4
126.725 33.300   208.4
126.750 33.300    40.2
126.775 33.300  -108.6
126.800 33.300   156.4
126.175 33.325  -145.4
126.200 33.325  -220.2
126.225 33.325  -185.8
126.250 33.325    19.9
126.275 33.325   194.5
126.300 33.325   -16.3
126.325 33.325   169.4
