name,code,min_lon,min_lat,max_lon,max_lat
추자,NI52-09-02,126.25,33.75,126.5,34.0
한림,NI52-09-16,126.25,33.4,126.5,33.65
제주,NI52-09-17,126.5,33.4,126.75,33.65
성산,NI52-09-18,126.75,33.4,127.0,33.65
모슬포,NI52-09-23,126.16666666666667,33.15,126.41666666666667,33.4
서귀,NI52-09-24,126.41666666666667,33.15,126.66666666666667,33.4
표선,NI52-09-25,126.66666666666667,33.15,126.91666666666667,33.4
비금,NI52-05-04,125.75,34.75,126.0,35.0
홍도,NI52-05-09,125.0,34.5,125.25,34.75
대흑산,NI52-05-10,125.25,34.5,125.5,34.75
도초,NI52-05-12,125.75,34.5,126.0,34.75
태도,NI52-05-18,125.25,34.25,125.5,34.5
눌옥,NI52-05-20,125.75,34.25,126.0,34.5
소흑산,NI52-05-25,125.0,34.0,125.25,34.25
맹골,NI52-05-28,125.75,34.0,126.0,34.25
자은,NI52-05-05,126.0,34.75,126.25,35.0
목포,NI52-05-06,126.25,34.75,126.5,35.0
영암,NI52-5-7,126.5,34.75,126.75,35.0
영암,NI52-05-07,126.5,34.75,126.75,35.0
청풍,NI52-5-8,126.75,34.75,127.0,35.0
청풍,NI52-05-08,126.75,34.75,127.0,35.0
하의,NI52-05-13,126.0,34.5,126.25,34.75
화원,NI52-5-14,126.25,34.5,126.5,34.75
화원,NI52-05-14,126.25,34.5,126.5,34.75
해남,NI52-5-15,126.5,34.5,126.75,34.75
해남,NI52-05-15,126.5,34.5,126.75,34.75
장흥,NI52-05-16,126.75,34.5,127.0,34.75
조도,NI52-05-21,126.0,34.25,126.25,34.5
진도,NI52-05-22,126.25,34.25,126.5,34.5
완도,NI52-05-23,126.5,34.25,126.75,34.5
신지,NI52-05-24,126.75,34.25,127.0,34.5
관매,NI52-05-29,126.0,34.0,126.25,34.25
죽굴,NI52-05-30,126.25,34.0,126.5,34.25
소안,NI52-05-31,126.5,34.0,126.75,34.25
청산,NI52-05-32,126.75,34.0,127.0,34.25
복내,NI52-06-01,127.0,34.75,127.25,35.0
순천,NI52-06-02,127.25,34.75,127.5,35.0
광양,NI52-06-03,127.5,34.75,127.75,35.0
남해,NI52-06-04,127.75,34.75,128.0,35.0
회천,NI52-06-08,127.0,34.5,127.25,34.75
고흥,NI52-06-09,127.25,34.5,127.5,34.75
여수,NI52-06-10,127.5,34.5,127.75,34.75
돌산,NI52-06-11,127.75,34.5,128.0,34.75
거금,NI52-06-15,127.0,34.25,127.25,34.5
손죽,NI52-06-16,127.25,34.25,127.5,34.5
광도,NI52-06-17,127.5,34.25,127.75,34.5
소리,NI52-06-18,127.75,34.25,128.0,34.5
초도,NI52-06-22,127.0,34.0,127.25,34.25
거문,NI52-06-23,127.25,34.0,127.5,34.25
사천,NI52-06-05,128.0,34.75,128.25,35.0
