station,version,from_year,to_year,event,grade,note,source
여주,1,,2019,표석 망실,B,망실 후 재설되어 과거 성과와 직접 비교가 어렵다,2020 지구물리측량 연구보고서
여주,2,2020,,재설,A,,2020 지구물리측량 연구보고서
가야,1,,2019,표석 망실 후 재설,C,표지석 망실로 새 위치 설정,2020 지구물리측량 연구보고서
가야,2,2020,2020,장비 이상,C,2020 신규측량에서 IGRF 대비 편각 약 1° 차이. 청양 장비 비교 시 약 0.12° 차이로 측정장비 비정상 동작이 주원인으로 판단됨,2020 지구물리측량 연구보고서
가야,2,2021,,재설 후,A,2020 장비 이상은 그 해 측량에 한정해 적용한다. 재방문 잔여 −35.5′ 는 판별불가로 REGIONAL_FILTER 가 따로 다룬다,2026-08 재방문 감사
순창,1,,2019,표석 망실 후 재설,C,표지석 망실로 새 위치 설정,2020 지구물리측량 연구보고서
순창,2,2020,,재설,A,,2020 지구물리측량 연구보고서
와도,1,,,환경 변화,B,측점 주변 환경 변화 지적,2020 지구물리측량 연구보고서
화천,1,,,환경 변화,B,측점 주변 환경 변화 지적,2020 지구물리측량 연구보고서
미원,1,,2019,편각 이상,B,2012~2019 구간에서 비정상적 편각 변화 지적,2020 지구물리측량 연구보고서
미원,2,2020,,,A,,
강화,1,,2019,편각 이상,B,2012~2019 구간에서 비정상적 편각 변화 지적,2020 지구물리측량 연구보고서
강화,2,2020,,,A,,
*,1,2017,2017,편복각경위계 고장,C,2017년 자료는 장비 고장으로 전량 분석 제외,2020 지구물리측량 연구보고서
*,1,2011,2011,D·I 미관측,C,2011년은 편각·복각 관측 자체가 없음,2020 지구물리측량 연구보고서
부안,1,2023,2023,방위 기준 불일치,C,재방문 잔여 부호 반전(+62.2′ → −70.6′)으로 해당 방문이 원인으로 특정됨,2026-08 재방문 감사
포천,1,2023,2023,방위 기준 불일치,C,재방문 잔여 부호 반전(−32.2′ → +22.3′)으로 해당 방문이 원인으로 특정됨,2026-08 재방문 감사
거제,1,,,마크 방위각 변동,A,참방위각이 방문마다 159.9° → 330.6° 로 이동하고 재방문 잔여 −19.7′. 판별불가라 REGIONAL_FILTER=conservative 에서만 빠진다,2026-08 재방문 감사
