측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_D변동_분,관측소_I변동_분,관측소_F변동_nT,관측소_dB_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
가야,2022-09-19,16:15:00,16:40:00,16:15~16:25,16:30~16:40,2022-09-19 07:15~07:25,2022-09-19 07:30~07:40,0.667,QUIET,0.08,0.21,3.2,5.6,QUIET,7.336040293841506,-1.032050259762085,-0.7807933025138868,1,nearest,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-19,16:52:00,17:13:00,16:52~17:00,17:03~17:13,2022-09-19 07:52~08:00,2022-09-19 08:03~08:13,0.667,QUIET,0.05,0.19,2.5,4.8,QUIET,7.8932061349842115,-0.63056079365545,-0.9860474453941221,1,nearest,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-19,17:37:00,17:56:00,17:37~17:44,17:47~17:56,2022-09-19 08:37~08:44,2022-09-19 08:47~08:56,0.667,QUIET,0.03,0.08,1.7,2.9,QUIET,3.722843528354133,-0.35499791386689794,-0.571179371136275,1,nearest,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,11:24:00,11:49:00,11:24~11:32,11:42~11:49,2022-09-20 02:24~02:32,2022-09-20 02:42~02:49,2.0,QUIET,0.28,0.1,2.9,7.3,QUIET,-30.83116703646374,-1.5575389331040297,0.8458210733026894,1,nearest,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,12:02:00,12:19:00,12:02~12:09,12:12~12:19,2022-09-20 03:02~03:09,2022-09-20 03:12~03:19,2.0,QUIET,0.11,0.05,2.3,3.4,QUIET,-28.826475575573568,-2.7213516559695954,0.8801267400159283,1,nearest,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,12:37:00,12:51:00,12:37~12:43,12:46~12:51,2022-09-20 03:37~03:43,2022-09-20 03:46~03:51,2.0,QUIET,0.16,0.08,3.9,5.8,QUIET,-23.580035565129947,-2.9752472272440893,0.5519965853375239,1,nearest,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2024-09-12,11:06:00,11:22:00,11:06~11:12,11:15~11:22,2024-09-12 02:06~02:12,2024-09-12 02:15~02:22,2.0,QUIET,0.3,0.04,1.9,11.2,QUIET,-42.6752266503172,0.24511974543625412,-0.04154117799820005,1,nearest,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,12:00:00,12:17:00,12:00~12:06,12:10~12:17,2024-09-12 03:00~03:06,2024-09-12 03:10~03:17,3.667,DISTURBED,0.34,0.28,3.7,8.5,CAUTION,-35.06656723723427,-3.196173361187052,-0.6556624564692963,1,nearest,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,12:48:00,13:08:00,12:48~12:56,13:01~13:08,2024-09-12 03:48~03:56,2024-09-12 04:01~04:08,3.667,DISTURBED,0.7,0.09,14.2,24.1,CAUTION,-1.8600351741188206,-3.3345093094459433,-2.866987953254241,1,nearest,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,13:39:00,13:57:00,13:39~13:45,13:50~13:57,2024-09-12 04:39~04:45,2024-09-12 04:50~04:57,3.667,DISTURBED,0.06,0.24,7.7,12.5,CAUTION,3.150429579349293,-3.907650556364552,-3.279743426110133,1,nearest,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,14:16:00,14:42:00,14:16~14:22,14:36~14:42,2024-09-12 05:16~05:22,2024-09-12 05:36~05:42,3.667,DISTURBED,0.1,0.36,4.7,12.7,CAUTION,8.271892705670325,-4.649690830723777,-2.7259679458412798,1,nearest,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,15:00:00,15:18:00,15:00~15:07,15:11~15:18,2024-09-12 06:00~06:07,2024-09-12 06:11~06:18,5.667,DISTURBED,0.41,0.05,2.6,9.7,CAUTION,2.4060788931165007,-4.136901210071554,-1.9532957077564232,1,nearest,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
강화,2024-04-17,12:32:00,12:54:00,12:32~12:39,12:46~12:54,2024-04-17 03:32~03:39,2024-04-17 03:46~03:54,1.0,QUIET,0.07,0.11,4.7,8.1,QUIET,-369.62519532311126,41.32739977282858,-16.573605006102788,1,nearest,성분별,정상,배포.지자기야장(강화점)24.04.16-18.xlsx
강화,2024-04-17,13:26:00,13:48:00,13:26~13:33,13:38~13:48,2024-04-17 04:26~04:33,2024-04-17 04:38~04:48,1.0,QUIET,0.03,0.16,4.1,6.0,QUIET,-359.0439203614296,40.8910463968949,-17.40437711942412,1,nearest,성분별,정상,배포.지자기야장(강화점)24.04.16-18.xlsx
강화,2024-04-17,14:21:00,14:38:00,14:21~14:27,14:32~14:38,2024-04-17 05:21~05:27,2024-04-17 05:32~05:38,1.0,QUIET,0.02,0.13,2.5,3.5,QUIET,-347.90663045406836,40.913225679743476,-18.14731517071496,1,nearest,성분별,정상,배포.지자기야장(강화점)24.04.16-18.xlsx
강화,2024-04-17,15:03:00,15:55:00,15:40~15:46,15:03~15:55,2024-04-17 06:40~06:46,2024-04-17 06:03~06:55,0.667,QUIET,0.04,0.31,3.6,6.6,QUIET,-341.8896172591849,41.373732157744534,-18.471428581627187,1,nearest,성분별,정상,배포.지자기야장(강화점)24.04.16-18.xlsx
강화,2024-04-17,15:07:00,15:25:00,15:07~15:14,15:18~15:25,2024-04-17 06:07~06:14,2024-04-17 06:18~06:25,0.667,QUIET,0.05,0.12,1.5,2.6,QUIET,-342.5539768216404,41.15140766668331,-18.473885012842356,1,nearest,성분별,정상,배포.지자기야장(강화점)24.04.16-18.xlsx
강화,2024-04-17,16:10:00,16:27:00,16:10~16:16,16:20~16:27,2024-04-17 07:10~07:16,2024-04-17 07:20~07:27,0.667,QUIET,0.04,0.15,3.5,5.9,QUIET,-344.04443202435505,41.54967021718585,-18.15708581310134,1,nearest,성분별,정상,배포.지자기야장(강화점)24.04.16-18.xlsx
거제,2019-06-18,16:10:00,16:27:00,16:10~16:15,16:20~16:27,2019-06-18 07:10~07:15,2019-06-18 07:20~07:27,0.333,QUIET,0.16,0.14,1.0,5.7,QUIET,0.04196938848326681,-2.7201209632520404,-0.9161653997089528,1,nearest,성분별,정상,남지.거제 지자기 야장 문서.xlsx
거제,2019-06-18,16:45:00,17:01:00,16:45~16:52,16:55~17:01,2019-06-18 07:45~07:52,2019-06-18 07:55~08:01,0.333,QUIET,0.13,0.04,1.2,3.0,QUIET,0.6544216892798431,-1.8685669624456958,-0.750349606858698,1,nearest,성분별,정상,남지.거제 지자기 야장 문서.xlsx
거제,2019-06-19,11:01:00,11:20:00,11:01~11:10,11:15~11:20,2019-06-19 02:01~02:10,2019-06-19 02:15~02:20,0.667,QUIET,0.43,0.06,2.0,7.0,QUIET,-25.259640223375754,1.602848384178199,0.21954716275140196,1,nearest,성분별,정상,남지.거제 지자기 야장 문서.xlsx
