측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_D변동_분,관측소_I변동_분,관측소_F변동_nT,관측소_dB_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
가야,2022-09-19,16:15:00,16:40:00,16:15~16:25,16:30~16:40,2022-09-19 07:15~07:25,2022-09-19 07:30~07:40,0.667,QUIET,0.22,0.21,7.0,10.4,QUIET,-21.92276698495698,0.38212350422956665,-1.93359314734486,3,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-19,16:52:00,17:13:00,16:52~17:00,17:03~17:13,2022-09-19 07:52~08:00,2022-09-19 08:03~08:13,0.667,QUIET,0.17,0.19,3.4,5.9,QUIET,-14.525736512587173,1.5738063262936035,-3.6702194822584495,3,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-19,17:37:00,17:56:00,17:37~17:44,17:47~17:56,2022-09-19 08:37~08:44,2022-09-19 08:47~08:56,0.667,QUIET,0.23,0.13,4.5,8.5,QUIET,-45.56120155221288,4.805014590950424,-0.4442186881339306,3,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,11:24:00,11:49:00,11:24~11:32,11:42~11:49,2022-09-20 02:24~02:32,2022-09-20 02:42~02:49,2.0,QUIET,0.28,0.1,2.9,7.3,QUIET,-164.11852626563632,1.8069675911846792,5.803910546711101,3,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,12:02:00,12:19:00,12:02~12:09,12:12~12:19,2022-09-20 03:02~03:09,2022-09-20 03:12~03:19,2.0,QUIET,0.11,0.07,2.3,3.4,QUIET,-159.06603342466406,-2.6853283310964846,5.7232344670315705,3,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,12:37:00,12:51:00,12:37~12:43,12:46~12:51,2022-09-20 03:37~03:43,2022-09-20 03:46~03:51,2.0,QUIET,0.16,0.11,3.9,5.8,QUIET,-137.5962972183188,-3.6639192581951723,4.343112637041235,3,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2024-09-12,11:06:00,11:22:00,11:06~11:12,11:15~11:22,2024-09-12 02:06~02:12,2024-09-12 02:15~02:22,2.0,QUIET,0.3,0.36,5.9,13.0,QUIET,-49.8735647550493,24.15504690858299,-15.515821546147029,3,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,12:00:00,12:17:00,12:00~12:06,12:10~12:17,2024-09-12 03:00~03:06,2024-09-12 03:10~03:17,3.667,DISTURBED,0.34,0.6,12.7,18.1,CAUTION,-85.52751856251416,8.240161811831172,-14.129496556006075,3,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,12:48:00,13:08:00,12:48~12:56,13:01~13:08,2024-09-12 03:48~03:56,2024-09-12 04:01~04:08,3.667,DISTURBED,0.7,0.55,24.7,38.7,CAUTION,115.5979750571496,5.853348204583975,-30.649747411215152,3,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,13:39:00,13:57:00,13:39~13:45,13:50~13:57,2024-09-12 04:39~04:45,2024-09-12 04:50~04:57,3.667,DISTURBED,0.09,0.74,12.4,15.7,CAUTION,176.050469337737,-0.00980387492623335,-35.17313292728313,3,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
