측점,날짜,시작,종료,Kp,dF,dD_arcmin,상태,파일
가야,2022-09-19,16:15:00,16:40:00,0.667,12.520787865505554,-0.9010609280225954,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-19,16:52:00,17:13:00,0.667,13.47080373443896,-0.5136770102586158,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-19,17:37:00,17:56:00,0.667,9.05989855707594,-0.2765846945201431,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,11:24:00,11:49:00,2.0,-24.234525478947035,-1.8735042472588386,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,12:02:00,12:19:00,2.0,-22.197953386996232,-2.736526911534783,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,12:37:00,12:51:00,2.0,-17.057830456127704,-3.1183533493880393,정상,2022.09.19.지자기야장(가야).xlsx
가야,2024-09-12,11:06:00,11:22:00,2.0,-41.39333351170353,-0.023880014638970937,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,12:00:00,12:17:00,3.667,-33.66245669518685,-3.432957471024465,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,12:48:00,13:08:00,3.667,-2.8326918427846977,-3.5653483892107958,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,13:39:00,13:57:00,3.667,4.274051783744653,-3.9668881547258548,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,14:16:00,14:42:00,3.667,8.466186077857856,-4.800354482886265,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,15:00:00,15:18:00,5.667,2.9827262285762117,-3.8258174466755888,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
강화,2024-04-17,12:32:00,12:54:00,1.0,-281.14885161062557,31.331435482387118,정상,배포.지자기야장(강화점)24.04.16-18.xlsx
강화,2024-04-17,13:26:00,13:48:00,1.0,-269.93788596551894,30.95530417568235,정상,배포.지자기야장(강화점)24.04.16-18.xlsx
강화,2024-04-17,14:21:00,14:38:00,1.0,-258.53655584256194,30.998987171407908,정상,배포.지자기야장(강화점)24.04.16-18.xlsx
강화,2024-04-17,15:03:00,15:55:00,0.667,-252.2360134841365,31.33070347838094,정상,배포.지자기야장(강화점)24.04.16-18.xlsx
강화,2024-04-17,15:07:00,15:25:00,0.667,-252.94881862137117,31.24637935147319,정상,배포.지자기야장(강화점)24.04.16-18.xlsx
강화,2024-04-17,16:10:00,16:27:00,0.667,-254.42283587393467,31.628178713471655,정상,배포.지자기야장(강화점)24.04.16-18.xlsx
거제,2019-06-18,16:10:00,16:27:00,0.333,-0.7665577849111287,-2.6167807861162946,정상,남지.거제 지자기 야장 문서.xlsx
거제,2019-06-18,16:45:00,17:01:00,0.333,0.3182985589301097,-1.8457684534696468,정상,남지.거제 지자기 야장 문서.xlsx
거제,2019-06-19,11:01:00,11:20:00,0.667,-24.985654338139284,1.423636482102526,정상,남지.거제 지자기 야장 문서.xlsx
거제,2019-06-19,11:42:00,12:04:00,0.667,-26.38992654876347,-0.3228497369463754,정상,남지.거제 지자기 야장 문서.xlsx
거제,2024-10-24,11:07:00,11:25:00,2.667,-39.22876370580343,2.2956423693017776,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,11:07:00,15:06:00,2.667,-45.818818799132714,-2.6100538870184478,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,11:40:00,11:55:00,2.667,-48.16742375936883,1.078685823518283,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,12:31:00,12:52:00,4.333,-57.94830943696434,-1.8197266378130095,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,13:10:00,13:33:00,4.333,-55.227885304251686,-4.47094126098588,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,14:07:00,14:29:00,4.333,-32.95321488662739,-5.465906123601632,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,15:00:00,15:16:00,3.333,-34.33482321626798,-4.936879646642387,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
경주,2020-11-17,13:24:00,13:45:00,0.0,-13.814962310047122,-0.38746084821208604,정상,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-17,14:02:00,14:19:00,0.0,-10.218211905885255,-0.9461481885977285,정상,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-17,14:35:00,14:50:00,0.0,-5.193190709076589,-1.1414875182749422,정상,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-18,10:20:00,10:35:00,1.0,3.543594795104582,1.2901510029646666,정상,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-18,10:55:00,11:10:00,1.0,-0.11909425634803483,1.8957764527441783,정상,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-18,11:30:00,11:47:00,1.0,-3.770056388093508,1.6717479844306455,정상,배포.지자기야장.20.11.17_경주.xlsx
남지,2019-06-24,15:41:00,16:02:00,0.333,4.040407111257082,-1.8386470908864936,정상,남지.거제 지자기 야장 문서.xlsx
남지,2019-06-25,09:45:00,10:02:00,0.667,-23.073623386662803,2.5348442190713474,정상,남지.거제 지자기 야장 문서.xlsx
남지,2019-06-25,10:39:00,10:52:00,0.667,-22.725313613103935,1.026189854167781,정상,남지.거제 지자기 야장 문서.xlsx
미원,2019-05-14,13:24:00,13:49:00,5.667,-12.607209847847116,-3.6953862100966717,정상,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-14,14:20:00,14:42:00,5.667,-58.54514997809747,-5.218062129093361,정상,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-15,10:30:00,10:49:00,0.667,-33.43383550993167,-1.6238115584295525,정상,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-15,11:11:00,11:28:00,0.667,-30.54072219860973,-2.5442497626479956,정상,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-15,11:59:00,12:14:00,0.667,-25.881127367232693,-3.3410489018414182,정상,2019.5.14~17.미원 야장기록.xlsx
미원,2024-05-01,11:40:00,12:02:00,3.667,-22.48313065811817,-1.723118485567531,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,12:20:00,12:40:00,2.0,-10.967390806916228,-3.5141725544055524,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,13:02:00,13:29:00,2.0,-1.9023952713469043,-4.518630673779843,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,13:51:00,14:13:00,2.0,3.006270432699239,-4.814281782942904,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,14:33:00,14:52:00,2.0,10.379266089650628,-4.165310483584357,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,15:14:00,15:35:00,1.667,8.073366214601265,-3.400210193408368,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
부안,2020-09-15,12:40:00,13:10:00,2.0,-15.453582449248643,-1.9079048577097126,정상,2020.09.15_부안_지자기야장.xlsx
부안,2020-09-15,12:40:00,12:47:00,2.0,-15.409013030068309,-1.8808495067087738,정상,2020.09.15_부안_지자기야장.xlsx
부안,2020-11-03,11:11:00,11:33:00,1.667,-17.0928892497177,0.896672567397435,정상,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,11:45:00,12:03:00,1.667,-19.402377632897696,-0.0021381253452589914,정상,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,12:15:00,12:30:00,0.0,-20.4965291016415,-1.0108547018784202,정상,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,13:02:00,13:20:00,0.0,-15.573924678763433,-2.424246175015833,정상,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,13:30:00,13:47:00,0.0,-11.263547732996813,-2.713428424247658,정상,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,14:00:00,14:18:00,0.0,-5.020741855609231,-2.4484576068493173,정상,배포.20.11.03_부안_야장(6).xlsx
