측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_변동폭_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
가야,2022-09-19,16:15:00,16:40:00,16:15~16:25,16:30~16:40,2022-09-19 07:15~07:25,2022-09-19 07:30~07:40,0.667,QUIET,9.2,QUIET,22.60522748627409,-0.8665502560578318,0.041666270340501695,4,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-19,16:52:00,17:13:00,16:52~17:00,17:03~17:13,2022-09-19 07:52~08:00,2022-09-19 08:03~08:13,0.667,QUIET,5.5,QUIET,16.707994292293733,-0.9278987434918077,0.4744376491037401,4,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-19,17:37:00,17:56:00,17:37~17:44,17:47~17:56,2022-09-19 08:37~08:44,2022-09-19 08:47~08:56,0.667,QUIET,2.8,QUIET,27.587331587194058,-2.172429066331706,-0.5345642931490772,4,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,11:24:00,11:49:00,11:24~11:32,11:42~11:49,2022-09-20 02:24~02:32,2022-09-20 02:42~02:49,2.0,QUIET,3.1,QUIET,33.71475207922049,-2.82504514108187,-1.407394196331228,4,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,12:02:00,12:19:00,12:02~12:09,12:12~12:19,2022-09-20 03:02~03:09,2022-09-20 03:12~03:19,2.0,QUIET,3.0,QUIET,33.98998157272581,-2.3792399278975713,-1.3440751169401148,4,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,12:37:00,12:51:00,12:37~12:43,12:46~12:51,2022-09-20 03:37~03:43,2022-09-20 03:46~03:51,2.0,QUIET,4.5,QUIET,31.319876191519143,-2.261717161821522,-1.1394187888177574,4,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2024-09-12,11:06:00,11:22:00,11:06~11:12,11:15~11:22,2024-09-12 02:06~02:12,2024-09-12 02:15~02:22,2.0,QUIET,10.4,QUIET,-35.0153564844295,-11.91380774403942,7.374512335420639,4,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,12:00:00,12:17:00,12:00~12:06,12:10~12:17,2024-09-12 03:00~03:06,2024-09-12 03:10~03:17,3.667,DISTURBED,16.5,CAUTION,-5.4961665201117285,-8.763188204930294,5.832089429914008,4,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,12:48:00,13:08:00,12:48~12:56,13:01~13:08,2024-09-12 03:48~03:56,2024-09-12 04:01~04:08,3.667,DISTURBED,38.6,CAUTION,-69.56016491029004,-8.093489862316932,10.338333760108135,4,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,13:39:00,13:57:00,13:39~13:45,13:50~13:57,2024-09-12 04:39~04:45,2024-09-12 04:50~04:57,3.667,DISTURBED,14.2,CAUTION,-88.31002931734838,-6.49025405094385,12.182246340016567,4,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
