측점,날짜,시작,종료,편각구간,복각구간,관측수,F_nT,위도,경도,이상,파일,시트
가야,2022-09-19,16:15:00,16:40:00,16:15~16:25,16:30~16:40,8,49541.597,35.80078258333333,128.18765805555557,,2022.09.19.지자기야장(가야).xlsx,간편야장출력
가야,2022-09-19,16:52:00,17:13:00,16:52~17:00,17:03~17:13,8,49541.597,35.80078258333333,128.18765805555557,,2022.09.19.지자기야장(가야).xlsx,간편야장출력
가야,2022-09-19,17:37:00,17:56:00,17:37~17:44,17:47~17:56,8,49541.597,35.80078258333333,128.18765805555557,,2022.09.19.지자기야장(가야).xlsx,간편야장출력
가야,2022-09-20,11:24:00,11:49:00,11:24~11:32,11:42~11:49,8,49512.366,35.80078258333333,128.18765805555557,,2022.09.19.지자기야장(가야).xlsx,간편야장출력
가야,2022-09-20,12:02:00,12:19:00,12:02~12:09,12:12~12:19,8,49512.366,35.80078258333333,128.18765805555557,,2022.09.19.지자기야장(가야).xlsx,간편야장출력
가야,2022-09-20,12:37:00,12:51:00,12:37~12:43,12:46~12:51,8,49512.366,35.80078258333333,128.18765805555557,,2022.09.19.지자기야장(가야).xlsx,간편야장출력
가야,2024-09-12,11:06:00,11:22:00,11:06~11:12,11:15~11:22,8,49583.114,35.80078258333333,128.18765805555557,,배포_지자기야장.가야(2024.09.12.측정).xlsx,가야24.9.12측정
가야,2024-09-12,12:00:00,12:17:00,12:00~12:06,12:10~12:17,8,49586.425,35.80078258333333,128.18765805555557,,배포_지자기야장.가야(2024.09.12.측정).xlsx,가야24.9.12측정
가야,2024-09-12,12:48:00,13:08:00,12:48~12:56,13:01~13:08,8,49614.601,35.80078258333333,128.18765805555557,,배포_지자기야장.가야(2024.09.12.측정).xlsx,가야24.9.12측정
가야,2024-09-12,13:39:00,13:57:00,13:39~13:45,13:50~13:57,8,49619.901,35.80078258333333,128.18765805555557,,배포_지자기야장.가야(2024.09.12.측정).xlsx,가야24.9.12측정
가야,2024-09-12,14:16:00,14:42:00,14:16~14:22,14:36~14:42,8,49621.91,35.80078258333333,128.18765805555557,,배포_지자기야장.가야(2024.09.12.측정).xlsx,가야24.9.12측정
가야,2024-09-12,15:00:00,15:18:00,15:00~15:07,15:11~15:18,8,49621.91,35.80078258333333,128.18765805555557,,배포_지자기야장.가야(2024.09.12.측정).xlsx,가야24.9.12측정
강화,2024-04-17,12:32:00,12:54:00,12:32~12:39,12:46~12:54,8,51502.51,37.66612411111111,126.47877522222223,,배포.지자기야장(강화점)24.04.16-18.xlsx,간편야장출력
강화,2024-04-17,13:26:00,13:48:00,13:26~13:33,13:38~13:48,8,51517.12,37.66612411111111,126.47877522222223,,배포.지자기야장(강화점)24.04.16-18.xlsx,간편야장출력
강화,2024-04-17,14:21:00,14:38:00,14:21~14:27,14:32~14:38,8,51532.6,37.66612411111111,126.47877522222223,,배포.지자기야장(강화점)24.04.16-18.xlsx,간편야장출력
강화,2024-04-17,15:03:00,15:55:00,15:40~15:46,15:03~15:55,8,51544.96,37.66612411111111,126.47877522222223,복각시각이 편각보다 43분 빠름,배포.지자기야장(강화점)24.04.16-18.xlsx,간편야장출력
강화,2024-04-17,15:07:00,15:25:00,15:07~15:14,15:18~15:25,8,51544.96,37.66612411111111,126.47877522222223,,배포.지자기야장(강화점)24.04.16-18.xlsx,간편야장출력
