name,year,lat,lon,elev_m,D_deg,I_deg,F_nT,date,date_src,측점,연도,D_야장,I_야장,F_야장,n
거제,2024,34.870311083333334,128.59286111111112,91.014,-8.147083333333333,51.199,49335.5,2024-10-24 12:31:00,야장복원,거제,2024,-8.147075,51.19899675925925,49335.5345,6
가야,2022,35.80078258333333,128.18765805555557,190.91,-7.665786111111111,52.13194444444444,49527.0,2022-09-20 02:30:30,야장복원,가야,2022,-7.665786111111111,52.13194398148148,49526.9815,6
가야,2024,35.80078258333333,128.18765805555557,190.91,-8.382344444444445,51.809241666666665,49608.0,2024-09-12 13:13:30,야장복원,가야,2024,-8.382342592592591,51.8092412037037,49607.97683333334,6
이원,2024,36.07088027777778,127.69973402777778,210.708,-8.419358333333333,52.96939444444445,50286.9,2024-09-05 13:20:00,야장복원,이원,2024,-8.419355555555555,52.96939444444445,50286.94616666667,6
강화,2024,37.66612411111111,126.47877522222223,100.524,-8.659730555555555,54.76521666666667,51531.185,2024-04-17 14:42:00,야장복원,강화,2024,-8.659727777777777,54.76521666666667,51531.185,6
미원,2024,36.72502777777778,127.58622222222222,97.952,-9.12226388888889,53.41215555555556,50709.268,2024-05-01 13:26:30,야장복원,미원,2024,-9.122261111111111,53.40985055555556,50709.26833333333,6
영천,2024,35.79208525,128.94860258333333,564.555,-9.90221111111111,52.20221388888889,49783.992,2024-10-31 13:02:00,야장복원,영천,2024,-9.90221111111111,52.202214814814816,49783.992333333335,6
성산,2023,33.524479916666664,126.89416197222224,8.08,-8.531083333333335,50.037638888888885,48909.94,2023-04-12 13:35:00,야장복원,성산,2023,-8.531068518518518,50.037647685185185,48909.93983333334,12
성산,2025,33.524479916666664,126.89416197222224,8.08,-8.658166666666666,50.120777777777775,49008.025,2025-05-15 12:36:00,야장복원,성산,2025,-8.65816712962963,50.12078101851852,49008.025,6
순천,2023,34.78708333333333,127.30497222222222,67.4,-8.334194444444446,51.31283333333333,49690.663,2023-04-26 12:52:00,야장복원,순천,2023,-8.334202777777778,51.31282361111111,49690.663,6
순천,2025,34.78708333333333,127.30497222222222,67.4,-8.440091666666667,51.11415277777778,49618.919,2025-04-02 13:19:00,야장복원,순천,2025,-8.440089351851851,51.114152777777775,49618.919,6
포천,2023,37.99090344444445,127.13462836111111,423.872,-9.507055555555555,55.01291666666667,51424.42,2023-05-25 13:09:30,야장복원,포천,2023,-9.507043981481482,55.01291851851852,51424.419833333326,6
포천,2025,37.99090344444445,127.13462836111111,423.872,-9.245016666666666,55.04298333333333,51495.298,2025-05-27 12:43:30,야장복원,포천,2025,-9.245014814814814,55.042982870370366,51495.29833333333,6
여주,2023,37.445381,127.58998836111111,177.03,-9.340261111111111,54.43335277777778,51138.042,2023-09-07 13:10:00,야장복원,여주,2023,-9.340260185185185,54.43335231481481,51138.041999999994,6
여주,2025,37.445381,127.58998836111111,177.03,-9.267430555555556,54.423825,51174.98,2025-04-30 13:45:00,야장복원,여주,2025,-9.267430555555556,54.42382407407407,51174.98016666667,6
함양,2023,35.54250855555556,127.62296883333333,415.62,-8.797277777777778,51.9955,49653.2,2023-09-13 11:36:00,야장복원,함양,2023,-8.797277777777778,51.99549212962963,49653.176,6
상주,2023,36.35528841666667,128.11048069444445,92.568,-8.12363888888889,52.75655555555556,50538.443,2023-10-11 13:39:30,야장복원,상주,2023,-8.12363888888889,52.75655972222222,50538.442833333334,6
부안,2023,35.58775,126.71613888888889,33.5,-7.182833333333334,52.33430555555556,50607.778,2023-11-01 13:21:30,야장복원,부안,2023,-7.182818981481482,52.33430138888889,50607.77833333333,6
