순위,관리번호,후보지명,등급,위도,경도,최대공백_감소_km,평균거리_감소_km,적용후_최대공백_km
1,DS-014,어론 신규점,B,37.7763,128.0759,11.9,2.99,117.6
2,DS-049,보령 신규점2,B,36.2668,126.707,17.8,3.32,99.8
3,DS-050,담양 신규점1,B,35.478,126.9304,4.4,1.96,95.4
4,DS-046,오호 신규점,B,38.3189,128.5218,1.0,0.94,94.4
5,DS-055,완도 신규점,B,34.3288,126.5432,5.9,0.65,88.5
6,DS-020,예안 신규점1,B,36.7454,128.8536,5.1,2.37,83.4
7,DS-079,예산 신규점3,B,36.5835,126.9945,3.0,0.95,80.4
8,DS-057,덕산 신규점1,B,36.8885,128.1927,0.0,0.93,80.4
9,DS-033,청송 신규점1,B,36.3829,129.1458,0.0,0.81,80.4
10,DS-004,남해 신규점1,B,34.8523,127.9815,0.0,0.74,80.4
11,DS-047,화천 기존점,A,38.1156,127.6867,0.0,0.61,80.4
12,DS-016,임계 신규점2,B,37.3944,128.9418,0.0,0.51,80.4
13,DS-075,고남 신규점2,B,36.4523,126.3958,0.0,0.47,80.4
14,DS-082,진안 신규점2,B,35.9043,127.2605,0.0,0.46,80.4
15,DS-102,부안 신규점,B,35.5418,126.6456,0.0,0.37,80.4
16,DS-040,영양 신규점4,B,36.7436,129.1813,0.0,0.35,80.4
17,DS-035,의성 신규점,B,36.4767,128.5088,0.0,0.34,80.4
18,DS-030,순창 신규점,B,35.2848,127.0921,0.0,0.31,80.4
19,DS-013,청일 신규점2,B,37.6186,128.1698,0.0,0.31,80.4
20,DS-008,태백 신규점,A,37.0207,128.9839,0.0,0.21,80.4
