측점,방문수,연도,F_산포_nT,D_산포_arcmin,I_산포_arcmin
이원,4,2022/2024/2019/2019,163.40479503012466,10.951809294665455,3.540525039743585
순천,2,2023/2025,125.27609801887593,2.2824557290657665,14.68791500138309
거제,4,2022/2024/2019/2019,122.18348305358813,18.73152033956952,9.483351241600246
미원,3,2022/2024/2019,46.029841699055396,19.858352775623445,2.683733262937693
성산,2,2023/2025,39.296923971349315,3.780461536400015,1.6913579705396842
남지,2,2019/2019,37.018926865675894,1.1182336729531173,0.5299545902424541
강화,2,2022/2024,28.833682324671827,70.34811568059664,5.181241802829248
가야,2,2022/2024,27.752512170467526,26.10043596148092,21.72848519740711
삼척,2,2022/2024,7.883035335806198,66.7574187550175,3.2131506067612747
여주,2,2023/2025,7.067177934870415,9.67645597632611,2.7551427758253055
