자료원,방식,D,I,F
—,none,0.5123,0.2505,62.995
E0 청양단독,subtract_D,0.5495,0.2505,62.995
E0 청양단독,subtract_DI,0.5495,0.2462,62.995
E0 청양단독,subtract_quiet_DI,0.515,0.2353,62.995
E1 최근접,subtract_D,0.5504,0.2505,62.995
E1 최근접,subtract_DI,0.5504,0.2354,62.995
E1 최근접,subtract_quiet_DI,0.5183,0.2347,62.995
E2 평면보간,subtract_D,0.4987,0.2505,62.995
E2 평면보간,subtract_DI,0.4987,0.243,62.995
E2 평면보간,subtract_quiet_DI,0.5044,0.2378,62.995
E2b 역거리,subtract_D,0.5595,0.2505,62.995
E2b 역거리,subtract_DI,0.5595,0.2445,62.995
E2b 역거리,subtract_quiet_DI,0.5384,0.2441,62.995
