측점,lat,lon,elev,D_pub,I_pub,F_pub,D_igrf,I_igrf,F_igrf,D_lmm,I_lmm,F_lmm,rD_igrf,rD_lmm,rI_igrf,rI_lmm,rF_igrf,rF_lmm
춘양,36.92972222222222,128.85944444444445,,-7.936944444444444,52.82944444444445,50226.0,,,,,,,,,,,,
청송,36.36972222222222,129.07555555555555,,-7.726111111111111,51.962500000000006,49628.0,,,,,,,,,,,,
상주,36.352222222222224,128.11249999999998,92.55,-7.447777777777778,52.17916666666667,50224.0,-7.646130887051678,52.30217746906519,49924.198281931596,-7.856966113711769,52.47380119542961,49920.51191102252,11.90118655643401,24.55130015603947,-7.380648143911515,-17.678071725776476,299.8017180684037,303.4880889774795
미원,36.721944444444446,127.58527777777778,97.24,-7.627222222222223,52.80472222222222,50355.0,-7.714646924704654,52.86589236454481,50267.616121396306,-7.925482151364745,53.03751609090923,50217.92975048723,5.245482148945904,17.895595748551365,-3.6702085393557127,-13.967632121220674,87.38387860369403,137.0702495127698
서산,37.11472222222223,126.91277777777778,,-7.489166666666667,53.30277777777778,60812.0,,,,,,,,,,,,
청양,36.4375,127.00805555555556,,-7.519444444444445,52.5325,50296.7,,,,,,,,,,,,
이원,36.07083333333334,127.69972222222222,,-7.408055555555556,51.99722222222222,50052.6,,,,,,,,,,,,
부안,35.58777777777778,126.71611111111112,33.5,-7.358888888888888,51.77388888888889,50207.0,-7.290469122138225,51.589665649757954,49849.448721711226,-7.501304348798316,51.76128937612237,50004.76235080215,-4.105186005039805,8.544927594565657,11.053394347856198,0.7559707659912362,357.5512782887745,202.23764919785026
와도,35.16972222222222,126.36194444444443,29.14,-7.315833333333333,51.04361111111111,49962.0,-7.130154529030904,51.11284674006564,49700.96112099607,-7.340989755690995,51.28447046643006,49710.274750086995,-11.14072825814576,1.5093853414597014,-4.15413773727181,-14.451561319136772,261.03887900392874,251.72524991300452
순창,35.29666666666667,127.13944444444445,,-7.5008333333333335,51.013333333333335,49932.0,,,,,,,,,,,,
강화,37.65555555555555,126.47305555555556,71.24,-7.588055555555555,54.12111111111111,50945.0,-7.882107721102584,54.226464963912875,51070.662235040036,-8.092942947762676,54.39808869027729,51078.97586413096,17.64312993282175,30.293243532427265,-6.321231168105754,-16.618654749970716,-125.66223504003574,-133.97586413095996
함양,35.53944444444444,127.625,,-6.966666666666667,51.34861111111111,49344.0,,,,,,,,,,,,
가야,35.81472222222222,128.18722222222223,,-7.461388888888889,51.57361111111111,49478.0,,,,,,,,,,,,
경주,35.915277777777774,129.15722222222223,,-7.637777777777777,51.46416666666667,49688.0,,,,,,,,,,,,
양산,35.50333333333333,129.07416666666666,,-7.9061111111111115,50.925555555555555,49452.0,,,,,,,,,,,,
남지,35.43611111111111,128.47361111111113,,-7.166666666666667,50.75361111111111,49237.0,,,,,,,,,,,,
거제,34.87027777777778,128.5927777777778,,-6.957777777777778,50.485,49092.0,,,,,,,,,,,,
남해,34.86194444444445,127.99527777777777,,-6.953888888888889,50.42611111111111,48750.0,,,,,,,,,,,,
순천,34.786944444444444,127.30472222222222,,-7.205555555555556,50.635,49210.0,,,,,,,,,,,,
장흥,34.62722222222222,126.97777777777777,,-7.311111111111111,50.480555555555554,49018.0,,,,,,,,,,,,
조도,34.431666666666665,126.22361111111111,,-6.046111111111111,50.36833333333333,49534.0,,,,,,,,,,,,
포천,37.91361111111111,127.06972222222223,171.07,-7.97,54.265,51112.0,-8.025427183427523,54.42786269898956,51062.25277072041,-8.236262410087614,54.59948642535397,51070.56639981134,3.3256310056513705,15.975744605256832,-9.771761939373391,-20.069185521238353,49.74722927958646,41.43360018866224
여주,37.35416666666667,127.59638888888888,89.97,-7.642777777777777,53.361666666666665,50680.0,-7.908188573027621,53.64656989264296,50619.29133772612,-8.119023799687712,53.818193619007374,50589.604966817045,15.924647714990634,28.574761314596095,-17.094193558577615,-27.391617140442577,60.70866227387887,90.39503318295465
화천,38.11555555555556,127.68666666666667,155.0,-7.763055555555556,54.371944444444445,50950.0,-8.148860505645958,54.554605367249636,51018.42758796335,-8.359695732306049,54.72622909361405,51026.741217054274,23.14829700542413,35.79841060502959,-10.959655368311445,-21.257078950176407,-68.42758796334965,-76.74121705427387
설악,38.00972222222222,128.33305555555555,,-7.812222222222222,54.041666666666664,50610.0,,,,,,,,,,,,
봉평,37.60944444444445,128.39805555555554,695.73,-7.737222222222222,53.65861111111111,50787.0,-8.052998766460078,53.80533430130041,50539.632250081435,-8.26383399312017,53.97695802766483,50460.94587917236,18.94659265427137,31.59670625387683,-8.803391411358348,-19.10081499322331,247.3677499185651,326.0541208276409
임계,37.41083333333333,128.85305555555556,,-7.665277777777778,52.882777777777775,50670.0,,,,,,,,,,,,
제천,37.074444444444445,128.21138888888888,,-7.7380555555555555,53.223333333333336,50410.0,,,,,,,,,,,,
