site_id,lat,lon,priority,score,s1_희소성,s2_지형,s3_전력철도,s4_인구이격,s5_자기균일,dem_slope_deg,d_power_km,d_railway_km,d_urban_km
1,36.66786,126.25804,1,61.1,10.4,15.0,11.8,9.7,2.0,0.03,3.6,31.6,2.1
2,34.32601,126.51097,1,77.6,21.6,14.8,11.8,8.8,5.0,0.33,3.5,30.5,1.1
3,36.13004,126.59996,1,60.7,7.8,14.8,10.0,8.1,8.0,0.48,2.5,2.7,0.6
4,36.22097,126.71018,1,58.6,6.3,14.6,9.8,8.1,8.0,0.77,3.3,1.6,0.6
5,36.40195,126.81987,1,61.5,5.4,14.7,11.1,8.0,10.0,0.69,2.6,14.4,0.5
6,36.58283,126.93007,1,60.6,6.3,14.7,10.8,8.7,8.0,0.69,2.7,9.2,0.9
7,37.84474,126.9205,2,53.9,5.9,14.7,9.6,7.9,5.0,0.53,0.6,6.2,0.5
8,37.93486,126.91979,2,53.8,5.4,13.7,10.6,8.3,5.0,2.63,2.5,6.7,0.7
9,36.58331,127.04185,1,62.8,6.1,14.2,11.1,8.7,10.0,1.53,4.3,9.4,0.9
10,38.20574,127.03186,2,56.0,5.7,14.9,10.8,8.4,5.0,0.28,11.4,2.0,0.8
11,35.59196,127.15795,1,61.1,6.0,14.5,11.1,9.3,8.0,1.06,5.4,7.0,1.5
12,34.87087,127.27038,1,61.2,9.2,14.4,9.0,8.3,8.0,1.21,1.4,0.9,0.7
13,35.86272,127.26755,3,49.2,5.1,13.8,10.8,7.7,2.0,2.46,5.2,4.3,0.4
14,37.21514,127.37618,1,57.1,5.8,14.4,10.1,5.3,10.0,1.23,4.0,2.0,0.1
15,37.39542,127.37588,1,56.8,5.1,14.8,6.8,8.7,10.0,0.37,0.3,0.2,0.9
16,37.8461,127.37513,3,49.1,3.1,13.4,9.0,8.7,5.0,3.19,0.2,5.9,0.9
17,37.93623,127.37498,3,51.7,2.4,13.3,10.6,10.1,5.0,3.43,1.3,13.2,2.8
18,38.11648,127.37467,2,54.0,2.4,14.5,11.6,9.6,5.0,0.94,4.7,17.9,2.0
19,38.20661,127.37452,3,52.3,3.0,13.8,10.6,9.5,5.0,2.35,1.6,10.9,1.8
20,35.32195,127.48915,3,52.5,2.2,12.4,10.8,8.6,8.0,5.29,2.6,9.7,0.9
21,35.41212,127.48914,2,54.9,2.6,14.1,10.3,8.9,8.0,1.7,1.7,6.3,1.1
22,35.77278,127.48909,2,55.7,3.1,13.4,10.6,9.4,8.0,3.21,0.9,17.5,1.7
23,37.57576,127.48883,2,56.5,4.4,14.4,8.8,9.7,8.0,1.29,0.3,2.9,2.1
24,37.93629,127.48878,3,50.3,1.9,12.9,11.1,9.3,5.0,4.11,4.9,8.3,1.5
25,38.02642,127.48876,3,50.5,1.9,13.1,12.1,8.4,5.0,3.87,9.9,17.8,0.7
26,38.11655,127.48875,3,49.7,1.9,12.9,11.9,8.1,5.0,4.27,5.3,25.0,0.6
27,35.23174,127.59906,2,53.9,2.6,11.8,11.2,9.5,8.0,6.39,4.4,10.2,1.7
28,35.32191,127.59917,1,57.4,1.8,14.2,11.6,10.3,8.0,1.63,5.0,17.1,3.5
29,35.41208,127.59928,3,50.1,2.2,13.0,11.1,8.7,5.0,3.92,2.4,16.1,0.9
30,35.59241,127.5995,1,57.2,3.1,14.2,11.7,8.8,8.0,1.63,7.3,13.2,1.1
31,35.77274,127.59973,2,54.8,2.7,13.7,11.9,7.7,8.0,2.69,4.9,25.6,0.4
32,35.95306,127.59995,3,53.1,3.5,14.2,11.0,8.9,5.0,1.63,1.3,23.1,1.1
33,36.13338,127.60018,1,57.9,4.9,14.1,10.9,8.4,8.0,1.72,3.7,7.3,0.8
34,36.494,127.60064,3,52.0,3.7,14.6,11.4,6.9,5.0,0.73,5.5,10.8,0.2
35,36.58415,127.60076,2,55.2,2.9,14.4,11.1,7.8,8.0,1.11,3.2,11.4,0.4
36,37.21517,127.60159,1,58.7,4.9,14.4,9.3,8.3,10.0,1.1,2.5,0.9,0.7
37,37.93625,127.60258,3,52.2,2.2,14.0,10.4,10.2,5.0,2.08,2.0,6.7,3.0
38,38.02638,127.6027,3,49.4,1.8,12.0,11.3,9.5,5.0,6.07,4.1,13.3,1.8
39,38.11651,127.60283,3,46.8,2.0,12.9,11.2,6.3,5.0,4.2,2.1,22.3,0.1
40,38.29676,127.60308,3,52.1,2.9,14.7,12.2,6.9,5.0,0.65,9.4,24.4,0.2
41,35.32177,127.70919,1,57.1,2.6,13.2,11.9,10.0,8.0,3.68,6.0,20.5,2.7
42,35.59227,127.70989,2,56.2,3.3,13.3,10.9,9.4,8.0,3.38,6.8,4.2,1.6
43,35.77259,127.71036,2,55.7,3.1,12.2,12.4,8.9,8.0,5.5,13.8,21.1,1.1
44,36.67415,127.71279,2,55.4,2.2,14.5,11.7,7.9,8.0,0.97,8.9,10.1,0.5
45,36.7643,127.71304,2,54.1,3.0,14.7,10.5,7.1,8.0,0.53,3.3,4.3,0.3
46,37.6657,127.71559,2,56.6,2.9,14.6,11.5,8.3,8.0,0.88,6.6,11.0,0.7
47,37.75583,127.71585,2,55.0,3.0,14.7,8.6,9.8,8.0,0.67,0.5,1.5,2.3
48,38.02622,127.71664,3,48.0,2.2,13.1,8.2,9.9,5.0,3.76,0.0,10.1,2.5
49,38.20648,127.71717,3,50.7,2.6,13.2,12.1,7.6,5.0,3.5,6.2,30.1,0.4
50,38.2966,127.71744,3,52.6,2.9,12.9,12.8,8.6,5.0,4.29,15.0,33.9,0.9
51,36.04283,127.82209,2,54.7,3.8,13.4,11.2,7.4,8.0,3.28,5.9,7.7,0.3
52,36.58375,127.82433,1,57.0,2.3,14.3,12.6,8.4,8.0,1.47,17.6,22.5,0.7
53,36.6739,127.8247,2,56.4,2.2,14.4,12.3,8.3,8.0,1.25,16.2,16.1,0.7
54,37.21476,127.82701,1,61.2,4.4,14.5,10.8,9.2,10.0,0.95,2.7,8.2,1.5
55,37.66544,127.82897,3,51.3,2.6,13.9,11.0,8.6,5.0,2.23,2.1,14.7,0.9
56,38.02596,127.83058,3,53.2,2.9,14.5,11.5,8.7,5.0,1.09,5.4,12.9,0.9
57,34.87033,127.92687,1,62.3,9.3,14.7,11.0,9.9,5.0,0.58,2.6,11.8,2.5
58,36.04248,127.9331,1,59.5,4.4,13.8,10.2,9.2,10.0,2.33,1.5,6.2,1.4
59,36.31294,127.93459,2,54.9,4.0,15.0,11.0,9.0,5.0,0.05,6.7,5.0,1.2
60,36.49324,127.9356,1,57.5,2.9,14.1,12.0,8.9,8.0,1.82,10.8,15.2,1.1
61,36.67354,127.93661,1,60.4,2.5,14.7,12.0,9.1,10.0,0.57,17.8,8.4,1.3
62,37.66507,127.94236,2,55.1,2.7,15.0,11.0,7.4,8.0,0.07,2.1,14.9,0.3
63,37.84533,127.94343,1,60.4,2.8,14.3,11.6,9.6,10.0,1.38,6.5,13.4,1.9
64,38.11571,127.94506,2,54.7,3.0,14.5,12.0,9.3,5.0,1.03,5.4,26.8,1.5
65,38.29595,127.94616,3,53.1,3.1,13.5,12.7,8.2,5.0,2.94,9.9,43.9,0.6
66,35.77156,128.04226,3,51.7,4.7,13.4,11.7,9.6,2.0,3.27,3.5,28.3,1.9
67,36.31248,128.04599,2,55.2,4.2,13.8,9.3,8.9,8.0,2.5,5.6,0.4,1.1
